Volgnr.;Naam;h;b;tw;tf;Wel;Wpl;Wel-z;Wpl-z;A;r;Iy;Izwakke as;kN/m;id_1;Naam_1;Volgnr_1
40;HEA 360;350;300;10;17.5;1891000;2088000;526000;802000;14280;27;330900000;78870000;1.121;1;HEA 360;40
41;HEA 360 corrosie 50 jr.;348.8;298.8;8.8;16.3;1763410;1937390;485814;740566;13168;27;307538312;72580600;10.337;2;;41
42;HEA 360 corrosie 100 jr.;347.6;297.6;7.6;15.1;1633240;1783980;446406;679669;12045;27;283856559;66425200;0.9455;3;;42
43;HEA 400;390;300;11;19;2311000;2562000;571000;872000;15900;27;450700000;85640000;1.248;1;HEA 400;43
44;HEA 400 corrosie 50 jr.;388.8;298.8;9.8;17.8;2166000;2388790;530566;810208;14715;27;421052924;79266630;11.574;2;;44
45;HEA 400 corrosie 100 jr.;387.6;297.6;8.6;16.6;2017550;2213160;490782;748385;13573;27;391000811;73028300;10.655;3;;45
46;HEA 450;440;300;11.5;21;2896000;3216000;631000;966000;17800;27;637200000;94650000;1.398;1;HEA 450;46
47;HEA 450 corrosie 50 jr.;438.8;298.8;10.3;19.8;2727787;3014030;590169;901758;16589;27;598476517;88171300;13.023;2;;47
48;HEA 450 corrosie 100 jr.;437.6;297.6;9.1;18.6;2555760;2809200;549891;838848;15359;27;559200055;81823800;12.057;3;;48
49;HEA 500;490;300;12;23;3550000;3948000;691000;1058000;19750;27;869800000;103700000;1.551;1;HEA 500;49
50;HEA 500 corrosie 50 jr.;488.8;298.8;10.8;21.8;3357062;3716715;649785;993595;18481;27;820466000;97077808;14.507;2;;50
51;HEA 500 corrosie 100 jr.;487.6;297.6;9.6;20.6;3160400;3481220;609010;929571;17192;27;770505363;90620800;13.495;3;;51
52;HEA 550;540;300;12.5;24;4146000;4622000;721000;1106000;21180;27;1118999900;108200000;1.662;1;HEA 550;52
53;HEA 550 corrosie 50 jr.;538.8;298.8;11.3;22.8;3926586;4357576;679654;1041160;19843;27;1057822348;101540354;15.577;2;;53
